crop	region	year	mean_phylogenetic_distance	max_T	min_T	mean_T	prt	SR/Abundance	AB_100	AB_75	SR_100	SR_75			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP4-Control1	9	0	2	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP4-Control2	7	-1	1	-1			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP4-Control3	10	2	2	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP5-Control1	13	-2	0	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP5-Control2	11	-3	0	-1			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP5-Control3	14	0	0	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP1-Control1	23	2	0	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP1-Control2	22	0	0	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP1-Control3	20	-1	0	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP2-Control1	76	3	5	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP2-Control2	74	1	5	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP2-Control3	72	0	5	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP3-Control1	39	2	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP3-Control2	38	0	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP3-Control3	36	-1	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP4-Control1	35	-1	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP4-Control2	34	-2	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP4-Control3	31	-3	3	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP5-Control1	33	2	1	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP5-Control2	32	1	2	0			
solanum_melongena	Kenitra	2019	 108.33 	25.78	14.6	20.19	19.8	FAP5-Control3	29	0	2	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP1-Control1	3	1	1	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP1-Control2	0	-1	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP1-Control3	-2	-1	1	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP2-Control1	2	-2	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP2-Control2	-2	-4	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP2-Control3	-3	-4	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP3-Control1	5	1	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP3-Control2	1	-2	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP3-Control3	0	-2	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP4-Control1	0	-3	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP4-Control2	-3	-5	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP4-Control3	-5	-5	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP5-Control1	3	1	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP5-Control2	0	-1	0	0			
Solanum_lycopersicom	Kenitra	2018	 110.50 	27.78	17.14	22.46	2	FAP5-Control3	-2	-1	0	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP1-Control1	23	-2	3	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP1-Control2	24	-1	3	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP1-Control3	24	-1	2	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP2-Control1	-3	-3	0	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP2-Control2	-2	-2	0	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP2-Control3	-2	-2	-1	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP3-Control1	9	-3	3	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP3-Control2	11	-1	4	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP3-Control3	10	-2	3	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP4-Control1	29	-3	4	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP4-Control2	30	-2	4	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP4-Control3	30	-2	3	-1			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP5-Control1	49	-2	5	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP5-Control2	51	-1	6	0			
Solanum_lycopersicom	Kenitra	2019	 111.43 	25.78	14.6	20.19	19.8	FAP5-Control3	50	-1	5	-1			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP1-Control1	6	6	2	2			
Vicia_faba	Sefro	2018	 75.70 	27.62	13.58	20.6	26.6	FAP1-Control2	4	4	2	2			
